S.no,Account  Number,Account Name
6.1.1.9,'6-1190,Legal Fees
6.1.2,'6-1200,Telephone Expenses
6.1.2.1,'6-1210,Parking/Tolls Expenses
6.1.2.2,'6-1220,Equip. Repairs & Maintenance
6.1.2.3,'6-1230,General Repairs & Maintenance
6.1.2.4,'6-1240,Internet
6.1.2.5,'6-1250,Computer Expenses
6.1.2.6,'6-1260,Council Rates
6.1.2.7,'6-1270,Water Expenses
6.1.2.8,'6-1280,Stationery
6.1.2.9,'6-1290,Printing
6.1.3,'6-1300,Waste Removal
6.1.3.1,'6-1310,Freight Out
6.1.3.2,'6-1320,Postage
6.1.3.3,'6-1330,Inv. Adj. Shrinkage/Spoilage
6.1.3.4,'6-1340,Discounts Given
6.1.4,'6-1400,Non Profit Trust
6.1.4.1,'6-1410,Accounting Fees
6.1.4.2,'6-1420,Amortisation Expense
6.1.4.3,'6-1430,Assets Purchased <$300.00
6.1.4.4,'6-1440,Audit Fees
6.1.4.5,'6-1450,Board/Governance Expenses
6.1.4.6,'6-1460,Client Support Services
6.1.4.7,'6-1470,Consultancy Fees
6.1.4.8,'6-1480,Credit Card Fees
6.1.4.9,'6-1490,Donations
6.1.5,'6-1500,Filing Fees
6.1.5.1,'6-1510,Fines & Penalties
6.1.5.2,'6-1520,Fees & Permits
6.1.5.3,'6-1530,Fundraising Expense
6.1.5.4,'6-1540,Employment Support and Supervision Costs
6.1.5.5,'6-1550,Entertainment Costs
6.1.5.6,'6-1560,Health & Safety
6.1.5.7,'6-1570,General Expenses
6.1.5.8,'6-1580,Hire Purchase Charges
6.1.5.9,'6-1590,Subcontractor Expenses
6.1.6,'6-1600,Profitable Trust
6.1.6.1,'6-1610,Interest Expense
6.1.6.2,'6-1620,Loss on Sale of Assets
6.1.6.3,'6-1630,"Light, Power, Heating"
6.1.6.4,'6-1640,Management Fees
6.1.6.5,'6-1650,Meeting Expense
6.1.6.6,'6-1660,Membership Fees Paid
6.1.6.7,'6-1670,Merchant Fees
6.1.6.8,'6-1680,Office Supplies
6.1.6.9,'6-1690,"Postage, Freight and Courier"
6.1.7,'6-1700,Printing & Stationery
6.1.7.1,'6-1710,Property Management Fees
6.1.7.2,'6-1720,Publications and Information Resources
6.1.7.3,'6-1730,Rates & Taxes
6.1.7.4,'6-1740,Rent
6.1.7.5,'6-1750,Repairs & Maintenance
6.1.7.6,'6-1760,Subscriptions & Memberships
6.1.7.7,'6-1770,Tenancy and Property Supplies and Services
6.1.7.8,'6-1780,Sundry Expenses
6.1.7.9,'6-1790,Staff Amenities
6.1.8,'6-1800,Service Subcontractors
6.1.8.1,'6-1810,Telephone and internet
6.1.8.2,'6-1820,Travel - International
6.3,'6-3000,Cost of Goods Sold
6.3.1,'6-3100,Non Profit Trust
6.3.1.1,'6-3110,Purchases
6.3.1.2,'6-3120,Opening Stock
6.3.2,'6-3200,Profitable Trust
6.3.2.1,'6-3210,Fright Inwards
6.3.2.2,'6-3220,Less: Closing Stock
6.4,'6-4000,Payroll Expenses
6.4.1,'6-4100,Wages & Salaries Expenses
6.4.1.1,'6-4110,Salaries/ Wages
6.4.1.2,'6-4120,PAYG Expenses
6.4.1.3,'6-4130,Superannuation Expenses
6.4.1.4,'6-4140,Staff Training Expenses
6.4.1.5,'6-4150,Director's Fees
6.4.1.6,'6-4160,Travel & Accom. Expenses
6.4.1.7,'6-4170,Food
6.4.1.8,'6-4180,Mobile Phone Expenses
6.4.1.9,'6-4190,Other Payroll Expenses
6.4.2,'6-4200,Non Profit Trust
6.4.2.1,'6-4210,Annual Leave Expenses
6.4.2.2,'6-4220,Long Service Leave Expenses
6.4.2.3,'6-4230,Recruitment Expense
6.4.2.4,'6-4240,IT and Software Licenses
6.4.3,'6-4300,Profitable Trust
6.4.3.1,'6-4310,Termination Payments
6.4.3.2,'6-4320,Workers' Compensation
6.4.3.3,'6-4330,Training & Development
6.4.3.4,'6-4340,Wages & Salaries
6.6,'6-6000,Depreciation Expenses
6.6.1,'6-6100,Plant Depreciation
6.6.1.1,'6-6110,Furniture Depreciation
6.6.1.2,'6-6120,Office Equipment Depreciation
6.6.1.3,'6-6130,Computer Depreciation
6.6.1.4,'6-6140,Motor Vehicle Depreciation #1
6.6.1.5,'6-6150,Motor Vehicle Depreciation #2
6.6.1.6,'6-6160,Motor Vehicle Depreciation #3
6.6.1.7,'6-6170,Low Value Pool Depreciation
6.6.1.8,'6-6180,Buildings Depreciation
6.6.1.9,'6-6190,Warehouse Equip. Depreciation
6.6.2,'6-6200,Improvements Depreciation
6.6.2.1,'6-6210,Leased Equipment Depreciation
6.6.3,'6-6300,Non Profit Trust
6.6.3.1,'6-6310,Depreciation
6.8,'6-8000,Motor Vehicle Expenses
6.8.1,'6-8100,Motor Vehicle Registration
6.8.1.1,'6-8110,Motor Vehicle Insurance
6.8.1.2,'6-8120,Motor Vehicle Fuel/Oil
6.8.1.3,'6-8130,Motor Vehicle Maintenance
6.8.2,'6-8200,Non Profit Trust
6.8.2.1,'6-8210,Motor Vehicle Expense - Registration & Insurance
6.8.2.2,'6-8220,Motor Vehicle Expense - Repairs & Maintenance
6.8.3,'6-8300,Profitable Trust
6.8.3.1,'6-8310,Motor Vehicle Expense - Lease Payments
6.9,'6-9000,Insurance Expenses
6.9.1,'6-9100,Business Insurance
6.9.1.1,'6-9110,Public Liability Insurance
6.9.1.2,'6-9120,Vehicle Insurance
6.9.1.3,'6-9130,Product Liability Insurance
6.9.2,'6-9200,Non Profit Trust
6.9.2.1,'6-9210,Insurance
7,'7-0000,Other 
7.1,'7-1000,Interest Income
7.1.1,'7-1100,Ledger Name
7.1.1.1,'7-1110,Ledger Item
7.2,'7-2000,Other Income
7.2.1,'7-2100,Ledger Name
7.2.1.1,'7-2110,Ledger Item
7.3,'7-3000,Unrealised Currency Gains
7.3.1,'7-3100,Non Profit Trust
7.3.1.1,'7-3110,Unrealised Currency Gains
